pair_class,init,epoch,d_unaligned,d_aligned,reduction_pct,frac_neurons_moved
"consecutive epochs
(same run)",he_normal,1,8.626817112858538,8.626817112858538,0.0,0.0
"consecutive epochs
(same run)",he_normal,2,5.699024246624163,5.699024246624163,0.0,0.0
"consecutive epochs
(same run)",he_normal,3,4.694029547472485,4.694029547472485,0.0,0.0
"consecutive epochs
(same run)",he_normal,4,4.331755912509604,4.331755912509604,0.0,0.0
"consecutive epochs
(same run)",he_normal,5,4.526146916637312,4.526146916637312,0.0,0.0
"consecutive epochs
(same run)",he_normal,6,4.9216347150852275,4.9216347150852275,0.0,0.0
"consecutive epochs
(same run)",he_normal,7,4.416566901068988,4.416566901068988,0.0,0.0
"consecutive epochs
(same run)",he_normal,8,4.26317139309045,4.26317139309045,0.0,0.0
"consecutive epochs
(same run)",he_normal,9,4.153976415746776,4.153976415746776,0.0,0.0
"consecutive epochs
(same run)",he_normal,10,4.626233667639336,4.626233667639336,0.0,0.0
"consecutive epochs
(same run)",he_normal,1,8.367506716566586,8.367506716566586,0.0,0.0
"consecutive epochs
(same run)",he_normal,2,5.641171193229118,5.641171193229118,0.0,0.0
"consecutive epochs
(same run)",he_normal,3,4.8728430690308,4.8728430690308,0.0,0.0
"consecutive epochs
(same run)",he_normal,4,4.855391913975347,4.855391913975347,0.0,0.0
"consecutive epochs
(same run)",he_normal,5,4.7180408560827125,4.7180408560827125,0.0,0.0
"consecutive epochs
(same run)",he_normal,6,4.665511756615732,4.665511756615732,0.0,0.0
"consecutive epochs
(same run)",he_normal,7,4.722946412267327,4.722946412267327,0.0,0.0
"consecutive epochs
(same run)",he_normal,8,4.488933364350523,4.488933364350523,0.0,0.0
"consecutive epochs
(same run)",he_normal,9,4.858156799154211,4.858156799154211,0.0,0.0
"consecutive epochs
(same run)",he_normal,10,4.704444903476007,4.704444903476007,0.0,0.0
"consecutive epochs
(same run)",he_normal,1,8.166304555272244,8.166304555272244,0.0,0.0
"consecutive epochs
(same run)",he_normal,2,5.525200201952551,5.525200201952551,0.0,0.0
"consecutive epochs
(same run)",he_normal,3,5.109600576212157,5.109600576212157,0.0,0.0
"consecutive epochs
(same run)",he_normal,4,4.987812826960815,4.987812826960815,0.0,0.0
"consecutive epochs
(same run)",he_normal,5,4.8369618749668755,4.8369618749668755,0.0,0.0
"consecutive epochs
(same run)",he_normal,6,4.259695728925283,4.259695728925283,0.0,0.0
"consecutive epochs
(same run)",he_normal,7,4.646966141698207,4.646966141698207,0.0,0.0
"consecutive epochs
(same run)",he_normal,8,4.36515232068869,4.36515232068869,0.0,0.0
"consecutive epochs
(same run)",he_normal,9,4.347209439954882,4.347209439954882,0.0,0.0
"consecutive epochs
(same run)",he_normal,10,4.681305721361216,4.681305721361216,0.0,0.0
"consecutive epochs
(same run)",he_uniform,1,8.400944820340342,8.400944820340342,0.0,0.0
"consecutive epochs
(same run)",he_uniform,2,5.421778243123366,5.421778243123366,0.0,0.0
"consecutive epochs
(same run)",he_uniform,3,4.987025906949963,4.987025906949963,0.0,0.0
"consecutive epochs
(same run)",he_uniform,4,5.11602945192913,5.11602945192913,0.0,0.0
"consecutive epochs
(same run)",he_uniform,5,4.6751198609728855,4.6751198609728855,0.0,0.0
"consecutive epochs
(same run)",he_uniform,6,4.464662719465389,4.464662719465389,0.0,0.0
"consecutive epochs
(same run)",he_uniform,7,4.631982088772524,4.631982088772524,0.0,0.0
"consecutive epochs
(same run)",he_uniform,8,4.885867642096606,4.885867642096606,0.0,0.0
"consecutive epochs
(same run)",he_uniform,9,4.889841611326829,4.889841611326829,0.0,0.0
"consecutive epochs
(same run)",he_uniform,10,4.964283403122421,4.964283403122421,0.0,0.0
